Name,DET,LAM,L ENTR,L MAX,L MEAN,V MAX,V MEAN,V ENTR,DIV,TT
White Noise,0.08639683129098355,0.12994236832062292,0.6599765532279643,5,2.27361563516681,6,2.1719567492076317,0.4707640493266472,0.2,2.177321668902499
Sine,0.9999999999997198,0.9996618357485508,3.5148710117868025,787,176.58415840709978,7,6.227034579101944,0.898075085325976,0.0012706480304955528,6.237528259221948
Superimposed Sine,0.9993214753063057,0.9885584989431578,2.0453805871006656,844,22.052406416994373,8,4.796278850677347,1.7398244687671798,0.001184834123222749,4.89597209006777
Logistic Map,0.15673562308221403,0.08092105263156121,0.23901498719358152,4,2.063192182403703,3,2.027329192533992,0.1253319234678696,0.25,2.0285871357777427
Brownian Motion,0.7601616987248989,0.8781075545200856,1.9350156358250967,26,4.0733158771672535,23,4.374803326585328,2.0478327720902714,0.038461538461538464,4.570234113707597
